first,last,suffix,pos,dob,col,id_armchair,id_nfl_old,id_ffcalc,id_underdog,id_gsis,id_esd,id_nfl_new
cory,schlesinger,NA,RB,06/23/1972,Nebraska,CS-0800,2502856,NA,NA,NA,NA,NA
christian,scotland-williamson,NA,TE,07/05/1993,None,CS-0887,2561517,NA,NA,00-0034340,SCO079883,NA
caleb,scott,NA,WR,01/08/1996,Vanderbilt,CS-0893,2561270,NA,NA,00-0034243,SCO104156,NA
cam,serigne,NA,TE,08/06/1994,Wake Forest,CS-1275,2559964,NA,NA,00-0034863,SER410040,NA
canaan,severin,NA,WR,03/16/1993,Virginia,CS-1325,2556678,NA,NA,00-0032537,SEV253611,NA
connor,shaw,NA,QB,09/19/1991,South Carolina,CS-1350,2550252,NA,NA,00-0030661,SHA535087,32013030-2d30-3033-3036-3631c865686c
cecil,shorts,NA,WR,12/22/1987,Mount Union,CS-1500,2495341,1875,NA,00-0028052,SHO727038,32013030-2d30-3032-3830-353268d07eb2
chris,simms,NA,QB,08/29/1980,Texas,CS-1700,2505517,NA,NA,00-0022005,SIM339462,NA
chad,simpson,NA,RB,08/22/1985,Morgan State,CS-1900,2708,NA,NA,00-0025997,SIM482496,NA
cortrelle,simpson,NA,WR,08/30/1996,Richmond,CS-1912,2562994,NA,NA,00-0035479,SIM482683,NA
cam,sims,NA,WR,01/06/1996,Alabama,CS-1925,2561067,NA,1c17e030-ceb7-469d-ad3b-dc2073871e89,00-0034104,SIM667389,32013030-2d30-3033-3431-3034a561edc4
charles,sims,NA,RB,09/19/1990,West Virginia,CS-1950,2543770,2134,NA,00-0031390,SIM669037,32013030-2d30-3033-3133-3930b912766a
clifton,smith,NA,RB,07/04/1985,Fresno State,CS-2600,2507454,NA,NA,00-0026113,SMI145000,NA
chad,spann,NA,RB,08/08/1988,Northern Illinois,CS-2900,2530988,NA,NA,00-0028656,SPA466616,NA
cj,spiller,NA,RB,08/05/1987,Clemson,CS-3400,497204,1728,NA,00-0027861,SPI347627,32013030-2d30-3032-3738-3631206be155
charles,stackhouse,NA,RB,04/11/1980,Mississippi,CS-3600,2504903,NA,NA,NA,NA,NA
craig,stevens,NA,TE,09/01/1984,California,CS-3900,1992,NA,NA,00-0026225,STE601672,32013030-2d30-3032-3632-3235e7b0a194
cameron,stingily,NA,RB,10/05/1991,Northern Illinois,CS-3950,2553849,NA,NA,00-0031986,STI575031,NA
clint,stoerner,NA,QB,12/29/1977,Arkansas,CS-4100,2504092,NA,NA,NA,NA,NA
chansi,stuckey,NA,WR,10/04/1983,Clemson,CS-4200,2495753,NA,NA,00-0025622,STU151218,32013030-2d30-3032-3536-3232e385b1d6
chris,summers,NA,WR,07/10/1989,Liberty,CS-4400,2535954,NA,NA,00-0029339,SUM363096,NA
courtland,sutton,NA,WR,10/10/1995,SMU,CS-4462,2560888,2862,88d7d4ce-9e07-4431-a9df-7de34c7388d4,00-0034348,SUT333526,32013030-2d30-3033-3433-3438456af4e8
chris,swain,NA,RB,11/17/1992,Navy,CS-4475,2556870,NA,NA,00-0033004,SWA067676,NA
chester,taylor,NA,RB,09/22/1979,Toledo,CT-0100,2505181,1148,NA,00-0021314,TAY110311,32013030-2d30-3032-3133-313418b6361f
chris,taylor,NA,RB,11/07/1983,Indiana,CT-0200,2506670,NA,NA,00-0023844,TAY113550,NA
courtney,taylor,NA,WR,04/07/1984,Auburn,CT-0300,2495755,NA,NA,NA,NA,NA
chris,thomas,NA,WR,07/16/1971,Cal Poly,CT-1000,2503295,NA,NA,NA,NA,NA
chris,thompson,NA,RB,10/20/1990,Florida State,CT-1220,2540011,2793,73837f6a-d8ad-4960-950e-610427816ab6,00-0030404,THO499404,32013030-2d30-3033-3034-3034ec604bfe
chris,thompson,NA,WR,05/09/1994,Florida,CT-1235,2559368,2013,73837f6a-d8ad-4960-950e-610427816ab6,00-0033855,THO000003,32013030-2d30-3033-3338-3535699fa384
cody,thompson,NA,WR,01/11/1996,Toledo,CT-1262,2562759,NA,NA,00-0035164,THO480148,NA
colin,thompson,NA,TE,12/15/1993,Temple,CT-1275,2559268,NA,NA,00-0033720,THO503903,NA
craphonso,thorpe,NA,WR,06/27/1983,Florida State,CT-1400,2506454,NA,NA,NA,NA,NA
clayton,thorson,NA,QB,06/15/1995,Northwestern,CT-1450,2562762,NA,NA,00-0035283,THO828277,NA
cj,uzomah,NA,TE,01/14/1993,Auburn,CU-0150,2552559,NA,b56b7f84-24a7-44ca-ab26-426d5d70338e,00-0032134,UZO415291,32013030-2d30-3033-3231-333450a5697e
christian,wade,NA,RB,05/15/1991,None,CW-0025,2562896,NA,NA,00-0035728,WAD338164,NA
craig,walendy,NA,RB,07/11/1977,UCLA,CW-0200,2503496,NA,NA,NA,NA,NA
clive,walford,NA,TE,10/01/1991,Miami (FL),CW-0225,2552397,NA,fa096a8b-7361-4d6b-9da7-e781583f75f6,00-0032256,WAL062390,32013030-2d30-3033-3232-3536ad86f805
cooper,wallace,NA,TE,04/26/1982,Auburn,CW-0500,2506693,NA,NA,NA,NA,NA
chris,walsh,NA,WR,12/12/1968,Stanford,CW-0600,2503522,NA,NA,NA,NA,NA
chris,warren,NA,RB,01/24/1968,Ferrum,CW-0700,2503542,NA,NA,NA,NA,NA
chris,warren,NA,RB,06/06/1996,Texas,CW-0725,2560918,NA,NA,00-0034315,WAR582639,NA
chauncey,washington,NA,RB,04/29/1985,USC,CW-0800,953,NA,NA,00-0026353,WAS112485,32013030-2d30-3032-3633-35335a6e280b
corey,washington,NA,WR,12/29/1991,Newberry,CW-0825,2550413,NA,NA,00-0030897,WAS174012,32013030-2d30-3033-3038-3937a664ac30
chris,weinke,NA,QB,07/31/1972,Florida State,CW-1300,2504686,NA,NA,NA,NA,NA
chris,wells,NA,RB,08/07/1988,Ohio State,CW-1400,NA,NA,NA,NA,NA,NA
carson,wentz,NA,QB,12/30/1992,North Dakota State,CW-1425,2555259,2352,d410033e-15be-4349-a4f8-c85cd419a9d7,00-0032950,WEN615770,32013030-2d30-3033-3239-3530c5ee180a
charcandrick,west,NA,RB,06/02/1991,Abilene Christian,CW-1450,2550268,2339,NA,00-0030668,WES136836,32013030-2d30-3033-3036-36383d2d78b4
chastin,west,NA,WR,05/01/1987,Fresno State,CW-1500,497332,NA,NA,00-0027441,WES144430,32013030-2d30-3032-3734-3431464e5a0c
charlie,whitehurst,NA,QB,08/06/1982,Clemson,CW-1900,2495974,NA,NA,00-0024296,WHI646241,32013030-2d30-3032-3432-393657c9ed83
cole,wick,NA,TE,11/30/1993,Incarnate Word,CW-1975,2556708,NA,NA,00-0032562,WIC294732,32013030-2d30-3033-3235-363254416b5a
cadillac,williams,NA,RB,04/21/1982,Auburn,CW-2200,2506344,NA,NA,00-0023440,WIL179825,32013030-2d30-3032-3334-3430b8dd718e
chad,williams,NA,WR,10/19/1994,Grambling,CW-2450,2558208,NA,5f5a1142-3fc6-462d-8abb-0cbd387bfbd9,00-0033933,WIL179904,32013030-2d30-3033-3339-333391b03e3b
chris,williams,NA,WR,09/16/1987,New Mexico,CW-2750,2507654,NA,NA,00-0026691,WIL185352,32013030-2d30-3032-3636-3931b74ad9ea
clarence,williams,NA,RB,05/16/1977,Michigan,CW-2800,2503867,NA,NA,NA,NA,NA
corey,willis,NA,WR,05/02/1995,Central Michigan,CW-2950,2561290,NA,NA,00-0034493,WIL598004,NA
caleb,wilson,NA,TE,07/15/1996,UCLA,CW-3175,2562603,NA,NA,00-0035320,WIL132675,NA
cedrick,wilson,NA,WR,12/17/1978,Tennessee,CW-3200,2504701,NA,9d335cbd-90ae-4ded-8eb1-aaf645cb74d0,NA,NA,NA
cedrick,wilson,NA,WR,11/20/1995,Boise State,CW-3250,2504701,NA,9d335cbd-90ae-4ded-8eb1-aaf645cb74d0,NA,NA,NA
clayton,wilson,NA,TE,08/01/1994,NW Missouri State,CW-3350,2561569,NA,NA,00-0034716,WIL000011,NA
cierre,wood,NA,RB,02/21/1991,Notre Dame,CW-3550,2540209,NA,NA,00-0030248,WOO018213,32013030-2d30-3033-3032-343811cdd6e3
cam,worthy,NA,WR,04/06/1992,East Carolina,CW-4025,2553628,NA,NA,00-0031772,WOR725394,NA
chandler,worthy,NA,WR,09/15/1993,Troy,CW-4050,2553787,NA,NA,00-0031932,WOR713638,32013030-2d30-3033-3139-33329f9d5db0
cj,worton,NA,WR,01/30/1996,Florida International,CW-4062,2563168,NA,NA,00-0035206,WOR773442,NA
craig,yeast,NA,WR,11/20/1976,Kentucky,CY-0100,2503832,NA,NA,NA,NA,NA
darvin,adams,NA,WR,01/05/1990,Auburn,DA-0200,2495444,NA,NA,00-0028746,ADA214943,NA
davante,adams,NA,WR,12/24/1992,Fresno State,DA-0212,2543495,2125,d5a22838-a3b5-47dd-8d57-d8b059b7ace5,00-0031381,ADA218591,32013030-2d30-3033-3133-383188f79eec
dan,alexander,NA,RB,03/17/1978,Nebraska,DA-0400,2504736,NA,NA,NA,NA,NA
danario,alexander,NA,WR,08/07/1986,Missouri,DA-0500,497262,1788,NA,00-0027912,ALE168856,32013030-2d30-3032-3739-3132ccd1041e
deontez,alexander,NA,WR,07/25/1996,Franklin,DA-0550,2561573,NA,NA,00-0034715,ALE221247,NA
derrick,alexander,NA,WR,11/06/1971,Michigan,DA-0600,2499385,NA,NA,NA,NA,NA
david,allen,NA,RB,02/09/1978,Kansas State,DA-0800,2504459,NA,NA,NA,NA,NA
davonte,allen,NA,WR,03/06/1993,Marshall,DA-0825,NA,NA,NA,NA,NA,NA
dwayne,allen,NA,TE,02/24/1990,Clemson,DA-0850,2533046,1924,NA,00-0029689,ALL164177,32013030-2d30-3032-3936-3839b2db5387
danny,amendola,NA,WR,11/02/1985,Texas Tech,DA-0900,2649,1720,dd99e9df-8da5-4846-a593-eb8244ae169a,00-0026035,AME359918,32013030-2d30-3032-3630-33356909a613
damien,anderson,NA,RB,07/17/1979,Northwestern,DA-1000,2504964,NA,NA,NA,NA,NA
david,anderson,NA,WR,07/28/1983,Colorado State,DA-1100,2495796,NA,NA,00-0024465,AND179969,32013030-2d30-3032-3434-36351368308f
deon,anderson,NA,RB,01/27/1983,Connecticut,DA-1200,NA,NA,NA,NA,NA,NA
derek,anderson,NA,QB,06/15/1983,Oregon State,DA-1300,2506546,25,NA,00-0023645,AND180512,32013030-2d30-3032-3336-343575bf3e08
dres,anderson,NA,WR,07/20/1992,Utah,DA-1350,2552413,NA,NA,00-0031504,AND196249,NA
drew,anderson,NA,QB,10/18/1995,Murray State,DA-1375,2563013,NA,NA,00-0035483,AND198148,NA
darren,andrews,NA,WR,08/05/1995,UCLA,DA-1412,2561133,NA,NA,00-0034584,AND652499,NA
danny,anthrop,NA,WR,05/29/1993,Purdue,DA-1437,2556384,NA,NA,00-0032342,ANT334716,NA
dri,archer,NA,RB,08/09/1991,Kent State,DA-1450,2543596,NA,NA,00-0031392,ARC425790,32013030-2d30-3033-3133-393276b927d8
derick,armstrong,NA,WR,04/02/1979,Arkansas-Monticello,DA-1600,2505237,NA,NA,NA,NA,NA
dan,arnold,NA,TE,03/15/1995,Wisconsin-Platteville,DA-1650,2559385,NA,a8049b75-4511-4b82-a4b7-f3e10128811b,00-0034011,ARN413883,32013030-2d30-3033-3430-31312b05efd2
devin,aromashodu,NA,WR,05/23/1984,Auburn,DA-1700,2495800,34,NA,00-0024447,ARO387604,32013030-2d30-3032-3434-3437e15c37d0
damarr,aultman,NA,WR,01/13/1992,Maine,DA-1850,2553634,NA,NA,00-0031714,AUL428791,NA
david,ausberry,NA,TE,09/25/1987,USC,DA-1900,2499277,NA,NA,00-0028179,AUS013223,32013030-2d30-3032-3831-373953321241
darnell,autry,NA,RB,06/19/1976,Northwestern,DA-2000,2499475,NA,NA,NA,NA,NA
donnie,avery,NA,WR,06/12/1984,Houston,DA-2100,184,NA,NA,00-0026173,AVE422211,32013030-2d30-3032-3631-373359692e56
demarcus,ayers,NA,WR,07/07/1994,Houston,DA-2200,2555465,NA,NA,00-0032365,AYE268861,32013030-2d30-3033-3233-36355b34b67c
dallas,baker,NA,WR,11/10/1982,Florida,DB-0300,2495539,NA,NA,NA,NA,NA
dorian,baker,NA,WR,06/01/1996,Kentucky,DB-0337,2562924,NA,NA,00-0035038,BAK168771,NA
doug,baldwin,NA,WR,09/21/1988,Stanford,DB-0500,2530747,1927,NA,00-0028434,BAL312014,32013030-2d30-3032-3834-3334702cd8bb
darian,barnes,NA,RB,02/29/1980,Rutgers,DB-0800,2505218,NA,NA,NA,NA,NA
dwayne,bates,NA,WR,12/04/1975,Northwestern,DB-1000,2499569,NA,NA,NA,NA,NA
drew,belcher,NA,TE,04/18/1996,Maine,DB-1350,2563014,NA,NA,00-0035484,BEL033105,NA
donnell,bennett,NA,RB,09/14/1972,Miami (FL),DB-1600,2499623,NA,NA,NA,NA,NA
drew,bennett,NA,WR,08/26/1978,UCLA,DB-1700,2504418,NA,NA,NA,NA,NA
damien,berry,NA,RB,10/21/1988,Miami (FL),DB-1750,2495263,NA,NA,00-0028275,BER502108,NA
davone,bess,NA,WR,09/13/1985,Hawaii,DB-1800,735,1397,NA,00-0026000,BES106788,32013030-2d30-3032-3630-3030c0405014
dwayne,blakley,NA,TE,08/10/1979,Missouri,DB-2400,2504947,NA,NA,NA,NA,NA
derrick,blaylock,NA,RB,08/23/1979,Stephen F Austin State,DB-2500,2504574,NA,NA,NA,NA,NA
drew,bledsoe,NA,QB,02/14/1972,Washington State,DB-2600,2499683,NA,NA,NA,NA,NA
darrius,blevins,NA,WR,04/21/1976,Memphis,DB-2700,2503887,NA,NA,NA,NA,NA
david,blough,NA,QB,07/31/1995,Purdue,DB-2750,2563043,NA,353b4693-d107-4260-88bd-a1da5fa7fe8d,00-0035040,BLO315389,32013030-2d30-3033-3530-343014e16576
dontavia,bogan,NA,WR,10/06/1988,South Florida,DB-2900,2530483,NA,NA,00-0028299,BOG039910,NA
devontae,booker,NA,RB,05/27/1992,Utah,DB-2950,2555223,2378,3a11c891-19fa-49e3-bbf3-a3da3a48c62d,00-0032972,BOO019902,32013030-2d30-3033-3239-3732ec926fb5
diondre,borel,NA,WR,12/12/1988,Utah State,DB-3050,2530828,NA,NA,00-0028588,BOR392794,NA
david,boston,NA,WR,08/19/1978,Ohio State,DB-3100,2499719,NA,NA,NA,NA,NA
dwayne,bowe,NA,WR,09/21/1984,LSU,DB-3200,2495558,111,NA,00-0025410,BOW091822,32013030-2d30-3032-3534-31305ee0c746
dorson,boyce,NA,RB,06/25/1988,Washington,DB-3450,NA,NA,NA,NA,NA,NA
devonte,boyd,NA,WR,10/05/1994,UNLV,DB-3525,2559975,NA,NA,00-0034528,BOY107085,NA
deion,branch,NA,WR,07/18/1979,Louisville,DB-3600,2505062,123,NA,00-0021192,BRA490549,32013030-2d30-3032-3131-3932b4b3b9f1
daniel,braverman,NA,WR,09/28/1993,Western Michigan,DB-3725,2556144,NA,NA,00-0032801,BRA694296,32013030-2d30-3033-3238-30313d36023a
drew,brees,NA,QB,01/15/1979,Purdue,DB-3800,2504775,127,3c81a142-27aa-43c0-9468-1339474d9379,00-0020531,BRE229498,32013030-2d30-3032-3035-33318e1e348d
dezmon,briscoe,NA,WR,08/31/1989,Kansas,DB-4100,497274,NA,NA,00-0027789,BRI497843,32013030-2d30-3032-3737-38398e3c8fd3
demitrius,bronson,NA,RB,03/06/1990,Eastern Washington,DB-4150,2550841,NA,NA,00-0031405,BRO106752,NA
daron,brown,NA,WR,09/21/1991,Northern Illinois,DB-4375,2552479,NA,NA,00-0031960,BRO367295,NA
daniel,brown,NA,TE,05/26/1992,James Madison,DB-4387,2553900,NA,be8ae0a4-e518-4443-b338-9c72d58e45d4,00-0032098,BRO365389,32013030-2d30-3033-3230-3938933f399f
dante,brown,NA,RB,07/28/1980,Memphis,DB-4400,2505247,NA,NA,NA,NA,NA
dave,brown,NA,QB,02/25/1970,Duke,DB-4500,2499831,NA,NA,NA,NA,NA
dee,brown,NA,RB,05/12/1978,Syracuse,DB-4600,2504630,NA,NA,NA,NA,NA
dominique,brown,NA,RB,12/27/1991,Louisville,DB-4750,2553695,NA,NA,00-0031840,BRO395301,NA
donald,brown,NA,RB,04/11/1987,Connecticut,DB-4800,2507779,1642,NA,00-0027003,BRO398445,32013030-2d30-3032-3730-3033d36fee7f
dez,bryant,NA,WR,11/04/1988,Oklahoma State,DB-5300,497278,1727,NA,00-0027902,BRY336027,32013030-2d30-3032-3739-30326e27afaa
dialleo,burks,NA,WR,07/07/1974,Eastern Kentucky,DB-5900,2499920,NA,NA,NA,NA,NA
deontay,burnett,NA,WR,10/04/1997,USC,DB-5912,2560985,NA,f136948f-1caf-408c-b284-e72b3bf284a8,00-0034653,BUR406293,32013030-2d30-3033-3436-353328746abb
deon,butler,NA,WR,01/04/1986,Penn State,DB-6200,71233,NA,NA,00-0027063,BUT162030,32013030-2d30-3032-3730-3633b0ae950e
deon,butler,NA,TE,NA,Central Michigan,DB-6250,2554530,NA,NA,00-0032313,BUT160455,NA
damiere,byrd,NA,WR,01/27/1993,South Carolina,DB-6375,2553499,NA,98ba4c77-af43-490f-9701-f6033ac95d77,00-0031868,BYR127180,32013030-2d30-3033-3138-3638bc374295
dominique,byrd,NA,TE,02/07/1984,USC,DB-6400,2506909,NA,NA,00-0024308,BYR310270,NA
dontez,byrd,NA,WR,08/09/1995,Tennessee Tech,DB-6450,2561188,NA,NA,00-0034133,BYR312060,NA
deon,cain,NA,WR,08/09/1996,Clemson,DC-0025,2560987,NA,d236e571-77c9-45ed-815c-3bbfa83083a5,00-0034406,CAI129929,32013030-2d30-3033-3434-30366d004de1
devon,cajuste,NA,WR,01/31/1993,Stanford,DC-0050,2556490,NA,NA,00-0032716,CAJ652601,NA
duke,calhoun,NA,WR,09/01/1987,Memphis,DC-0200,2507852,NA,NA,00-0027261,CAL420942,00-0027261
dan,campbell,NA,TE,04/13/1976,Texas A&M,DC-0300,2499974,NA,NA,NA,NA,NA
diandre,campbell,NA,WR,12/19/1991,Washington,DC-0350,2553468,NA,NA,00-0031506,CAM229208,NA
dylan,cantrell,NA,WR,06/29/1994,Texas Tech,DC-0375,2560990,NA,NA,00-0034409,CAN789339,NA
david,carr,NA,QB,07/21/1979,Fresno State,DC-0700,2504804,NA,NA,00-0020608,CAR358385,32013030-2d30-3032-3036-30383f2c3b17
derek,carr,NA,QB,03/28/1991,Fresno State,DC-0725,2543499,2118,2959f959-acfe-415e-ae81-46d82fdc895f,00-0031280,CAR358797,32013030-2d30-3033-3132-3830ee8bf3c4
derek,carrier,NA,TE,07/25/1990,Wisconsin-Beloit,DC-0775,2534241,NA,81c86584-116e-4cc6-8ac4-4323fe62e8b8,00-0029119,CAR471726,32013030-2d30-3032-3931-31398fc22e24
darren,carrington,NA,WR,NA,Utah,DC-0787,2561014,NA,NA,00-0034888,CAR487184,NA
dwayne,carswell,NA,TE,01/18/1972,Liberty,DC-0800,2500005,NA,NA,NA,NA,NA
deandre,carter,NA,WR,04/10/1993,Sacramento State,DC-1050,2553502,NA,829c8119-5bcc-4b43-a0b3-fdfa718d2685,00-0031763,CAR641798,32013030-2d30-3033-3137-36332a66fa20
delone,carter,NA,RB,06/22/1987,Syracuse,DC-1100,2495269,1828,NA,00-0028057,CAR642622,32013030-2d30-3032-3830-35371547b492
drew,carter,NA,WR,09/05/1981,Ohio State,DC-1200,2506068,NA,NA,NA,NA,NA
duron,carter,NA,WR,03/22/1991,Ohio State,DC-1250,2552616,NA,NA,00-0031486,CAR646894,NA
doug,chapman,NA,RB,08/22/1977,Marshall,DC-1400,2504317,NA,NA,NA,NA,NA
dj,chark,NA,WR,09/23/1996,LSU,DC-1418,2561018,2912,28007c9d-835b-4df5-ac61-73e91914b048,00-0034777,CHA553392,32013030-2d30-3033-3437-37373924de43
darrin,chiaverini,NA,WR,10/12/1977,Colorado,DC-1500,2500059,NA,NA,NA,NA,NA
dallas,clark,NA,TE,06/12/1979,Iowa,DC-1600,2505664,207,NA,00-0022165,CLA236596,32013030-2d30-3032-3231-36355413711e
desmond,clark,NA,TE,04/20/1977,Wake Forest,DC-1900,2500080,NA,NA,00-0003035,CLA258726,00-0003035
david,clowney,NA,WR,07/07/1985,Virginia Tech,DC-2300,2495576,NA,NA,00-0025544,CLO525348,00-0025544
danny,coale,NA,WR,06/27/1988,Virginia Tech,DC-2450,2532813,NA,NA,00-0029633,COA396604,NA
daniel,coats,NA,TE,04/16/1984,Brigham Young,DC-2500,2495577,NA,NA,00-0024607,COA673362,00-0024607
david,cobb,NA,RB,06/03/1993,Minnesota,DC-2550,2552376,2298,NA,00-0032133,COB141451,32013030-2d30-3033-3231-3333c25239e1
deandra,cobb,NA,RB,05/18/1981,Michigan State,DC-2600,2506535,NA,NA,NA,NA,NA
derrick,coleman,NA,RB,10/18/1990,UCLA,DC-2850,2534871,NA,NA,00-0029068,COL248659,32013030-2d30-3032-3930-36389397758a
dobson,collins,NA,WR,07/12/1987,Gardner-Webb,DC-3050,2507692,NA,NA,00-0026764,COL532275,NA
dalvin,cook,NA,RB,08/10/1995,Florida State,DC-3550,2557991,2432,62c28d6f-2d43-4fbe-be41-d54d946d4f6e,00-0033893,COO047079,32013030-2d30-3033-3338-39337f9ee497
damian,copeland,NA,WR,10/17/1990,Louisville,DC-3750,2550331,NA,NA,00-0030818,COP323982,NA
dameyune,craig,NA,QB,04/19/1974,Auburn,DC-4100,2500225,NA,NA,NA,NA,NA
damarea,crockett,NA,RB,12/22/1997,Missouri,DC-4150,2563223,NA,NA,00-0035448,CRO022822,NA
dalton,crossan,NA,RB,02/25/1994,New Hampshire,DC-4250,2558885,NA,NA,00-0033257,CRO496665,NA
daunte,culpepper,NA,QB,01/28/1977,Central Florida,DC-4400,2500249,NA,NA,NA,NA,NA
dan,curley,NA,TE,04/25/1978,Eastern Washington,DC-4500,2505527,NA,NA,NA,NA,NA
dominique,curry,NA,WR,08/16/1987,California (PA),DC-4700,2507993,NA,NA,00-0027520,CUR454550,NA
davaris,daniels,NA,WR,12/18/1992,Notre Dame,DD-0050,2553641,NA,NA,00-0031797,DAN529377,NA
darrell,daniels,NA,TE,11/22/1994,Washington,DD-0075,2558886,NA,4aa9a8c5-86c3-404c-9f89-4fd2270c4db7,00-0033258,DAN527377,32013030-2d30-3033-3332-35381a061594
devard,darling,NA,WR,04/16/1982,Washington State,DD-0200,2505939,NA,NA,00-0022739,DAR358587,NA
davion,davis,NA,WR,10/23/1996,Sam Houston State,DD-0243,2562985,NA,NA,00-0035101,DAV262137,NA
domanick,davis,NA,RB,10/01/1980,LSU,DD-0400,NA,NA,NA,NA,NA,NA
dominique,davis,NA,QB,07/17/1989,East Carolina,DD-0450,2532829,NA,NA,00-0028863,WIL000005,NA
drew,davis,NA,WR,01/04/1989,Oregon,DD-0650,2530575,NA,NA,00-0028307,DAV286887,NA
dalyn,dawkins,NA,RB,12/12/1994,Colorado State,DD-0681,2561524,NA,47dbc200-f3f4-4526-a96c-e3e023606308,00-0034654,DAW054073,32013030-2d30-3033-3436-35346024a24e
dorin,dickerson,NA,WR,03/31/1988,Pittsburgh,DD-1200,497222,NA,NA,00-0027819,DIC263017,32013030-2d30-3032-3738-3139c8e752f2
dahrran,diedrick,NA,RB,01/11/1979,Nebraska,DD-1300,2505297,NA,NA,NA,NA,NA
darnell,dinkins,NA,TE,01/20/1977,Pittsburgh,DD-1500,2504787,NA,NA,NA,NA,NA
dennis,dixon,NA,QB,01/11/1985,Oregon,DD-1700,748,NA,NA,00-0026296,DIX123425,00-0026296
derek,dorris,NA,WR,12/01/1978,Texas Tech,DD-2100,2504495,NA,NA,NA,NA,NA
dede,dorsey,NA,RB,08/01/1984,Lindenwood,DD-2200,2506650,NA,NA,00-0023806,DOR528860,NA
dameane,douglas,NA,WR,03/15/1976,California,DD-2400,2500441,NA,NA,NA,NA,NA
david,douglas,NA,WR,06/27/1989,Arizona,DD-2450,2535980,NA,NA,00-0029361,DOU237749,NA
donald,driver,NA,WR,02/02/1975,Alcorn State,DD-2600,2500467,312,NA,00-0004541,DRI611685,32013030-2d30-3030-3435-3431e902e643
damon,dunn,NA,WR,03/15/1976,Stanford,DD-2800,2500487,NA,NA,NA,NA,NA
david,dunn,NA,WR,06/10/1972,Fresno State,DD-2900,2500488,NA,NA,NA,NA,NA
drake,dunsmore,NA,TE,11/04/1988,Northwestern,DD-2950,2533448,NA,NA,00-0029147,DUN755245,NA
donteea,dye,NA,WR,08/20/1993,Heidelberg,DD-3050,2553876,NA,NA,00-0032008,DYE190770,32013030-2d30-3033-3230-303854a66a3b
deon,dyer,NA,RB,10/02/1977,North Carolina,DD-3100,2504115,NA,NA,NA,NA,NA
doug,easlick,NA,RB,12/04/1980,Virginia Tech,DE-0100,2505804,NA,NA,NA,NA,NA
dominique,edison,NA,WR,07/16/1986,Stephen F Austin State,DE-0200,79553,NA,NA,00-0027137,EDI582023,NA
devale,ellis,NA,WR,04/02/1984,Hofstra,DE-0800,2506783,NA,NA,NA,NA,NA
dedrick,epps,NA,TE,06/19/1988,Miami (FL),DE-1000,497230,NA,NA,00-0027827,EPP248532,32013030-2d30-3032-3738-32377624d9a2
donnie,ernsberger,NA,TE,10/13/1996,Western Michigan,DE-1006,2560716,NA,NA,00-0034611,ERN252861,NA
danny,etling,NA,QB,07/22/1994,LSU,DE-1018,2560717,NA,NA,00-0034423,ETL296636,NA
dane,evans,NA,QB,11/19/1993,Tulsa,DE-1037,2559433,NA,NA,00-0033999,EVA790704,NA
darren,evans,NA,RB,11/09/1988,Virginia Tech,DE-1050,2495462,NA,NA,00-0028645,EVA114423,NA
david,fales,NA,QB,10/04/1990,San Jose State,DF-0150,2543751,NA,5bd68164-65b9-4a55-bab4-a176af436eff,00-0031076,FAL381917,32013030-2d30-3033-3130-3736eaf4186c
danny,farmer,NA,WR,05/21/1977,UCLA,DF-0200,2504168,NA,NA,NA,NA,NA
daniel,fells,NA,TE,09/23/1983,California-Davis,DF-0500,2506619,NA,NA,00-0023752,FEL481366,32013030-2d30-3032-3337-35322fa7bf0b
darren,fells,NA,TE,04/22/1986,California-Davis,DF-0550,2540928,NA,74fb4251-510b-4d47-92fb-45f92dd20aa3,00-0029738,FEL484741,32013030-2d30-3032-3937-33382a9a88e7
diamond,ferri,NA,RB,08/06/1981,Syracuse,DF-0700,2506177,NA,NA,NA,NA,NA
derek,fine,NA,TE,08/24/1983,Kansas,DF-0800,1068,NA,NA,00-0026272,FIN197209,NA
dimitri,flowers,NA,RB,01/20/1996,Oklahoma,DF-1212,2560726,NA,NA,00-0034225,FLO324441,NA
david,fluellen,NA,RB,01/29/1992,Toledo,DF-1225,2550289,NA,75f293fc-b2ef-4e5e-9480-2ad908d53961,00-0030711,FLU088852,32013030-2d30-3033-3037-31314d7f8a5c
doug,flutie,NA,QB,10/23/1962,Boston College,DF-1300,2500660,NA,NA,NA,NA,NA
dontez,ford,NA,WR,02/03/1994,Pittsburgh,DF-1356,2559301,NA,NA,00-0033747,FOR115216,NA
donta,foreman,NA,RB,04/24/1996,Texas,DF-1362,2557994,2440,NA,00-0033925,FOR392618,32013030-2d30-3033-3339-3235bdc5cf27
dj,foster,NA,RB,11/22/1993,Arizona State,DF-1375,2556528,NA,8564f62a-49ed-4027-aed3-4634dae09619,00-0032577,FOS199981,32013030-2d30-3033-3235-37373604d8f6
deshaun,foster,NA,RB,01/10/1980,UCLA,DF-1400,2505034,NA,NA,NA,NA,NA
donte,foster,NA,WR,11/10/1990,Ohio,DF-1450,2550341,NA,NA,00-0030935,FOS208731,NA
daurice,fountain,NA,WR,01/07/1989,Northern Iowa,DF-1478,2559921,NA,NA,00-0034395,FOU164323,NA
deshon,foxx,NA,WR,11/27/1992,Connecticut,DF-1625,2553917,NA,NA,00-0032174,FOX816440,NA
